setup_id,month,room_name,device_name,watts,hours,quantity,monthly_kwh,monthly_bill,cost_per_kwh,daily_wh,usage_level,season,is_heavy_appliance
502,Feb,living room,LIGHT,37.0,7.1,2.0,15.76,126.1,8.0,525.4,low,Winter,False
153,Dec, Drawing Room  ,Fan,85.0,17.3,2.0,88.23,705.84,8.0,2941.0,Med,Winter,False
904,Feb, Drawing Room  ,TV,178.0,5.8,3.0,92.92,743.33,8.0,3097.2,Medium,Winter,False
 676 ,Feb,Living Room,COMPUTER,,6.5,2.0,88.14,705.12,8.0,,Medium,Winter,False
731,June, Living Room  ,COMPUTER,119.0,4.6,1.0,16.42,,,547.4,Low,,False
972,Jan,DRAWING ROOM,COMPUTER,283.0,8.2,3.0,208.85,1670.83,8.0,6961.8,high,Winter,False
197,Aug,dining room,Light,33.0,8.2,2.0,16.24,129.89,8.0,541.2,low,Summer,False
 590 ,Apr, Bedroom  ,AC,1892.0,5.3,1.0.0,300.83,2406.62,8.0,,HIGH,Spring,True
378,Oct,Kitchen,Fan,83.0,12.7,1.0,31.62,252.98,8.0,1054.1,Medium,Autumn,False
584,April,drawing room,Computer,100.0,5.1,2.0,30.6,244.8,8.0,1020.0,medium,,False
805,October,Living Room,AC,1863.0,2.9,2.0.0,324.16,2593.3,8.0,,High,,True
562,Apr,Kitchen,WASHING MACHINE,666.0,0.5,2.0,19.98,159.84,8.0,666.0,low,Spring,True
503,October,Bedroom,computer,238.0,5.2,3.0,111.38,891.07,8.0,3712.8,high,,False
245,Dec,Bedroom,,,2.5,2.0,18.3,146.4,8.0,,low,Winter,
746,Nov,Drawing Room, Fan  ,54.0,14.8,3.0,71.93,575.42,8.0,2397.6,medium,Autumn,False
253,Jun,LIVING ROOM,Light,19.0,409.99999999999994,3.0,7.01,56.09,8.0,23370.0,low,Summer,False
683,Oct, Dining Room  ,Fan,67.0,10.2,1.0,0.0205,164.02,8000.98,683.4,low,Autumn,False
30,Feb,,FAN,86.0,15.3,1.0,39.47,315.79,8.0,1315.8,Medium,Winter,False
164,May,Bedroom,LIGHT,35.0,7.2,3.0,22.68,181.44,8.0,756.0,Med,Spring,False
